iter	Passed	Remaining
0	5	559
1	10	492
2	15	493
3	21	510
4	26	511
5	33	519
6	39	521
7	44	514
8	51	520
9	56	511
10	62	503
11	67	495
12	72	485
13	77	478
14	83	470
15	87	461
16	93	454
17	98	450
18	103	442
19	108	434
20	114	430
21	119	422
22	124	415
23	130	412
24	135	406
25	141	402
26	147	398
27	152	391
28	157	386
29	163	380
30	167	373
31	173	367
32	178	362
33	183	356
34	188	350
35	194	345
36	199	339
37	204	333
38	210	329
39	215	323
40	220	317
41	226	313
42	231	307
43	236	301
44	242	296
45	247	291
46	252	285
47	259	280
48	264	275
49	269	269
50	275	264
51	281	259
52	286	254
53	292	249
54	297	243
55	303	238
56	308	232
57	313	227
58	318	221
59	324	216
60	329	210
61	334	205
62	339	199
63	344	194
64	350	188
65	355	183
66	360	177
67	365	172
68	371	166
69	375	161
70	380	155
71	386	150
72	392	145
73	400	140
74	407	135
75	412	130
76	418	125
77	424	119
78	430	114
79	435	108
80	441	103
81	447	98
82	452	92
83	457	87
84	463	81
85	468	76
86	473	70
87	478	65
88	483	59
89	489	54
90	494	48
91	499	43
92	504	38
93	510	32
94	515	27
95	520	21
96	525	16
97	531	10
98	537	5
99	543	0
