market,edge,odds,model_prob,predicted_goals,actual_goals,won,profit_1u
Under 2.5,0.10753424657534244,2.92,0.44999999999999996,2.65,5.0,False,-1.0
Under 2.5,0.21520467836257318,1.71,0.8,1.28,3.0,False,-1.0
Over 2.5,0.07830188679245292,2.12,0.55,2.56,3.0,True,1.12
Under 2.5,0.13186528497409322,1.93,0.65,2.33,2.0,True,0.9299999999999999
Over 2.5,0.08502824858757063,1.77,0.65,3.48,1.0,False,-1.0
Under 2.5,0.11808510638297876,1.88,0.65,2.16,4.0,False,-1.0
Over 2.5,0.09751381215469612,1.81,0.65,3.42,3.0,True,0.81
Under 2.5,0.22264957264957264,2.34,0.65,2.28,3.0,False,-1.0
Under 2.5,0.11236559139784952,1.86,0.65,2.29,2.0,True,0.8600000000000001
Under 2.5,0.17153110047846887,2.09,0.65,2.13,3.0,False,-1.0
Over 2.5,0.008974358974359053,1.56,0.65,3.11,5.0,True,0.56
Under 2.5,0.045141700404858265,2.47,0.44999999999999996,2.81,1.0,True,1.4700000000000002
Under 2.5,0.07121212121212117,2.64,0.44999999999999996,2.74,2.0,True,1.6400000000000001
Under 2.5,0.16671388101982998,3.53,0.44999999999999996,2.5,4.0,False,-1.0
Over 2.5,0.043939393939393945,1.65,0.65,3.48,4.0,True,0.6499999999999999
Over 2.5,0.12368421052631584,1.9,0.65,3.38,2.0,False,-1.0
Over 2.5,0.10555555555555562,2.25,0.55,2.58,5.0,True,1.25
Under 2.5,0.009036144578313282,4.15,0.25,3.98,5.0,False,-1.0
Under 2.5,0.011403508771929749,2.28,0.44999999999999996,2.5,4.0,False,-1.0
Under 2.5,0.2318181818181818,1.76,0.8,1.74,2.0,True,0.76
Under 2.5,0.14494949494949494,1.98,0.65,2.29,1.0,True,0.98
Over 2.5,0.013057324840764384,1.57,0.65,3.17,4.0,True,0.5700000000000001
Over 2.5,0.05828402366863905,1.69,0.65,3.42,4.0,True,0.69
Under 2.5,0.09751381215469612,1.81,0.65,2.24,2.0,True,0.81
Over 2.5,0.09134078212290508,1.79,0.65,3.43,3.0,True,0.79
Under 2.5,0.17106918238993718,1.59,0.8,1.8,2.0,True,0.5900000000000001
Under 2.5,0.02446808510638293,2.35,0.44999999999999996,2.62,3.0,False,-1.0
Under 2.5,0.20947136563876656,2.27,0.65,2.04,2.0,True,1.27
Under 2.5,0.12916666666666665,1.92,0.65,2.44,4.0,False,-1.0
Over 2.5,0.06923076923076932,2.08,0.55,2.63,5.0,True,1.08
Under 2.5,0.15000000000000002,2.0,0.65,2.45,3.0,False,-1.0
Over 2.5,0.11305732484076436,1.57,0.75,3.69,6.0,True,0.5700000000000001
Over 2.5,0.0092592592592593,1.35,0.75,3.53,1.0,False,-1.0
Over 2.5,0.061764705882352944,1.7,0.65,3.47,5.0,True,0.7
Under 2.5,0.10986394557823126,2.94,0.44999999999999996,2.93,0.0,True,1.94
Under 2.5,0.12089947089947084,1.89,0.65,2.43,3.0,False,-1.0
Under 2.5,0.2318181818181818,1.76,0.8,1.96,2.0,True,0.76
Over 2.5,0.08181818181818179,1.76,0.65,3.43,2.0,False,-1.0
Under 2.5,0.10355191256830609,1.83,0.65,2.49,9.0,False,-1.0
Under 2.5,0.23820224719101124,1.78,0.8,1.84,5.0,False,-1.0
Under 2.5,0.13717948717948714,1.95,0.65,2.22,2.0,True,0.95
Over 2.5,0.14839357429718886,2.49,0.55,2.59,2.0,False,-1.0
Over 2.5,0.003551912568306115,1.83,0.55,2.79,5.0,True,0.8300000000000001
Under 2.5,0.1783018867924529,2.12,0.65,2.4,2.0,True,1.12
Under 2.5,0.3555555555555556,2.25,0.8,1.58,2.0,True,1.25
Under 2.5,0.18271604938271613,1.62,0.8,1.26,3.0,False,-1.0
Over 2.5,0.07528735632183914,1.74,0.65,3.4,2.0,False,-1.0
Under 2.5,0.18917050691244242,2.17,0.65,2.43,3.0,False,-1.0
Over 2.5,0.03453608247422679,1.94,0.55,2.55,3.0,True,0.94
Over 2.5,0.11305732484076436,1.57,0.75,3.5,2.0,False,-1.0
Under 2.5,0.10054945054945064,1.82,0.65,2.2,4.0,False,-1.0
Under 2.5,0.04183673469387755,2.45,0.44999999999999996,2.6,2.0,True,1.4500000000000002
