date,home_team,away_team,home_win_odds,draw_odds,away_win_odds,over_2_5_odds,under_2_5_odds,both_score_yes,both_score_no
2026-01-01,Crystal Palace,Fulham,2.18,3.35,3.5,2.1,1.7,1.83,1.9
2026-01-01,Liverpool,Leeds Utd,1.55,4.5,5.75,1.6,2.3,1.7,2.1
2026-01-01,Brentford,Tottenham,2.24,3.55,3.2,1.85,1.9,1.73,2.05
2026-01-01,Sunderland,Manchester City,9.0,4.9,1.38,1.62,2.25,1.85,1.9
2026-01-03,Aston Villa,Nottingham Forest,1.86,3.7,4.3,1.83,1.95,1.73,2.05
2026-01-03,Brighton,Burnley,1.54,4.2,6.6,1.7,2.1,1.75,2.0
2026-01-03,Wolves,West Ham,2.54,3.45,2.82,1.85,1.9,1.7,2.1
2026-01-03,Bournemouth,Arsenal,6.5,4.4,1.51,1.65,2.2,1.75,2.0
2026-01-04,Leeds Utd,Manchester Utd,2.68,3.4,2.68,1.85,1.9,1.67,2.15
2026-01-04,Everton,Brentford,2.4,3.25,3.2,2.15,1.67,1.85,1.9
